0.17	0.25	0.104	250
0.161	0.12	0.109	400
0.097	0.12	0.1	460
0.077	0.23	0.103	50
0.079	0.24	0.104	40
0.086	0.23	0.103	50
0.085	0.14	0.106	320
0.165	0.11	0.107	300
0.079	0.23	0.105	50
0.08	0.14	0.108	350
0.085	0.13	0.108	460
0.096	0.13	0.103	410
0.105	0.13	0.107	440
0.094	0.13	0.109	470
0.149	0.11	0.101	340
0.17	0.25	0.106	250
0.1	0.13	0.102	360
0.062	0.22	0.104	50
0.141	0.1	0.108	440
0.078	0.14	0.109	360
0.189	0.25	0.102	260
0.153	0.23	0.1	260
0.088	0.14	0.109	370
0.078	0.14	0.109	350
0.147	0.11	0.102	370
0.09	0.14	0.105	290
0.08	0.13	0.108	400
0.087	0.14	0.103	310
0.154	0.07	0.108	280
0.091	0.16	0.1	190
0.102	0.12	0.101	500
0.098	0.12	0.108	540
0.109	0.14	0.101	310
0.18	0.25	0.105	260
0.072	0.23	0.103	40
0.11	0.12	0.104	480
0.071	0.14	0.102	310
0.067	0.21	0.104	60
0.171	0.25	0.109	250
0.109	0.13	0.108	520
0.09	0.14	0.106	300
0.097	0.13	0.106	410
0.08	0.22	0.1	50
0.091	0.14	0.107	370
0.075	0.22	0.107	50
0.08	0.22	0.1	50
0.146	0.11	0.107	430
0.086	0.14	0.105	300
0.173	0.24	0.103	260
0.054	0.22	0.101	20
0.095	0.16	0.107	240
0.064	0.22	0.1	30
0.065	0.23	0.108	50
0.092	0.17	0.106	160
0.096	0.15	0.1	230
0.072	0.21	0.107	70
0.163	0.26	0.109	240
0.095	0.14	0.1	300
0.08	0.14	0.101	290
0.097	0.14	0.105	310
0.081	0.23	0.109	50
0.075	0.23	0.107	50
0.159	0.1	0.106	270
0.089	0.23	0.1	50
0.093	0.14	0.102	290
0.087	0.13	0.101	390
0.174	0.24	0.108	270
0.078	0.21	0.106	70
0.166	0.24	0.108	260
0.156	0.24	0.106	250
0.17	0.25	0.107	250
0.09	0.14	0.105	350
0.177	0.24	0.1	250
0.188	0.25	0.109	290
